                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88129,                 0.7762,                 1.0605,                0.93683,                 0.9534,                 0.9773,                0.77532,                0.80899,                0.73158,                 1.0737,              0.0013466,              0.0013466,              0.0013466
                     36,                0.93629,                0.77133,                 1.0849,                0.92782,                0.97143,                0.97389,                0.78382,                 0.7654,                0.70265,                  1.051,              0.0013268,              0.0013268,              0.0013268
                     37,                  0.898,                0.83756,                 1.0478,                0.92814,                0.96867,                 0.9747,                0.79699,                0.73365,                0.69926,                 1.0427,               0.001307,               0.001307,               0.001307
                     38,                0.87165,                0.75981,                 1.0832,                0.91718,                0.97143,                0.97406,                0.80307,                0.73378,                0.73152,                 1.0628,              0.0012872,              0.0012872,              0.0012872
                     39,                0.84204,                0.74605,                 1.0546,                0.92678,                0.96429,                0.96932,                0.77495,                0.75838,                0.73958,                 1.0581,              0.0012674,              0.0012674,              0.0012674
                     40,                0.92925,                0.80484,                 1.0757,                0.89977,                  0.975,                0.96916,                0.75684,                0.82124,                0.76359,                 1.0667,              0.0012476,              0.0012476,              0.0012476
                     41,                0.87675,                0.73657,                  1.045,                0.91258,                0.96071,                0.97169,                0.76929,                0.78401,                0.74092,                 1.0463,              0.0012278,              0.0012278,              0.0012278
                     42,                0.84099,                0.71995,                 1.0315,                0.92758,                0.98571,                0.98076,                0.79453,                0.72811,                0.68595,                 1.0376,               0.001208,               0.001208,               0.001208
                     43,                0.83877,                0.72425,                 1.0424,                0.91637,                0.98214,                0.98119,                0.76869,                0.78874,                 0.6917,                 1.0803,              0.0011882,              0.0011882,              0.0011882
                     44,                0.84558,                0.70577,                 1.0479,                0.93543,                0.98312,                0.97483,                0.75853,                0.78947,                0.70978,                 1.0523,              0.0011684,              0.0011684,              0.0011684
                     45,                0.85861,                0.70419,                 1.0208,                0.91855,                0.98929,                0.97181,                0.77439,                 0.7535,                0.70132,                  1.051,              0.0011486,              0.0011486,              0.0011486
                     46,                0.87548,                0.72249,                 1.0496,                0.92325,                0.97857,                0.97658,                0.79745,                0.69916,                0.66583,                 1.0342,              0.0011288,              0.0011288,              0.0011288
                     47,                0.86599,                0.78296,                 1.0625,                0.92562,                0.97785,                0.97809,                0.78454,                0.75003,                0.66965,                 1.0661,               0.001109,               0.001109,               0.001109
                     48,                0.86794,                 0.7139,                0.99734,                0.93035,                0.95404,                0.97583,                0.78622,                 0.7752,                0.68301,                 1.0749,              0.0010892,              0.0010892,              0.0010892
                     49,                0.76442,                0.68057,                0.98203,                0.91438,                0.99173,                0.97911,                0.78326,                0.77673,                0.68949,                 1.0657,              0.0010694,              0.0010694,              0.0010694
                     50,                0.81139,                0.69012,                 1.0105,                 0.9174,                0.99162,                0.97821,                0.80398,                0.73094,                0.66163,                 1.0364,              0.0010496,              0.0010496,              0.0010496
                     51,                0.80062,                0.70412,                 1.0027,                0.93793,                0.98571,                0.97119,                0.79081,                0.71418,                0.63498,                 1.0248,              0.0010298,              0.0010298,              0.0010298
                     52,                0.82006,                0.70547,                 1.0096,                0.93571,                0.98762,                0.97216,                0.80673,                0.66344,                0.63746,                 1.0034,                0.00101,                0.00101,                0.00101
                     53,                0.80387,                0.67058,                 1.0389,                0.94589,                0.97857,                0.97497,                0.81527,                0.66712,                0.62325,                0.99855,              0.0009902,              0.0009902,              0.0009902
                     54,                0.83607,                0.69248,                 1.0448,                0.92398,                0.98571,                0.97558,                0.81232,                 0.6678,                0.62996,                0.99298,              0.0009704,              0.0009704,              0.0009704
                     55,                0.84546,                0.68819,                 1.0304,                0.92974,                0.99254,                0.97757,                0.79494,                0.71294,                 0.6177,                 1.0078,              0.0009506,              0.0009506,              0.0009506
                     56,                0.76894,                0.63796,                 1.0021,                0.93585,                0.98986,                 0.9759,                0.81629,                0.64184,                0.61941,                 1.0105,              0.0009308,              0.0009308,              0.0009308
                     57,                0.77762,                0.71397,                 1.0145,                0.93907,                0.99085,                0.97748,                0.81997,                0.64164,                0.61067,                 1.0116,               0.000911,               0.000911,               0.000911
                     58,                0.80123,                0.67966,                0.98617,                0.93865,                0.98571,                0.98221,                0.83373,                0.62737,                0.61631,                  1.011,              0.0008912,              0.0008912,              0.0008912
                     59,                0.77541,                0.65839,                  1.005,                0.95142,                 0.9793,                0.98401,                0.82686,                0.65116,                  0.601,                 1.0108,              0.0008714,              0.0008714,              0.0008714
                     60,                0.80976,                0.66301,                 1.0447,                 0.9594,                0.97143,                0.98217,                0.83737,                0.61722,                0.58507,                0.98529,              0.0008516,              0.0008516,              0.0008516
                     61,                0.77451,                0.64453,                 1.0049,                0.94475,                0.98571,                0.98018,                  0.826,                0.62338,                0.58669,                0.98072,              0.0008318,              0.0008318,              0.0008318
                     62,                0.76249,                0.64294,                 1.0183,                0.94561,                0.99286,                0.98243,                0.82759,                0.62421,                0.58326,                0.97707,               0.000812,               0.000812,               0.000812
                     63,                0.75026,                0.65371,                 1.0089,                0.93914,                0.99195,                0.98368,                0.83609,                0.60516,                0.56208,                0.97959,              0.0007922,              0.0007922,              0.0007922
                     64,                0.77752,                0.81957,                 1.0385,                0.94316,                0.99643,                0.98379,                0.84238,                0.60938,                 0.5561,                0.97771,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.7116,                0.59857,                 0.9674,                0.94726,                0.99643,                0.98238,                0.84258,                0.60692,                0.55792,                0.96871,              0.0007526,              0.0007526,              0.0007526
                     66,                0.75245,                0.62076,                0.98332,                0.93401,                0.99643,                 0.9838,                0.82183,                0.64385,                0.58151,                0.98476,              0.0007328,              0.0007328,              0.0007328
                     67,                0.80992,                0.69896,                 1.0173,                0.94867,                0.98214,                0.98265,                0.83481,                0.63424,                0.57708,                0.97898,               0.000713,               0.000713,               0.000713
                     68,                0.74188,                0.61001,                0.99854,                0.94174,                0.98929,                0.98271,                0.82221,                0.63918,                0.57258,                0.98945,              0.0006932,              0.0006932,              0.0006932
                     69,                0.74023,                0.61449,                0.97983,                0.94616,                0.98571,                 0.9823,                 0.8203,                0.63063,                0.56128,                0.98343,              0.0006734,              0.0006734,              0.0006734
                     70,                0.74905,                0.63125,                0.98905,                0.95692,                0.99643,                0.98127,                0.83061,                0.61035,                0.56165,                0.98177,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.7652,                0.63257,                0.99964,                0.95096,                0.98571,                0.98051,                0.84286,                0.58563,                0.54535,                0.98016,              0.0006338,              0.0006338,              0.0006338
                     72,                0.67068,                0.55963,                0.96486,                0.95492,                 0.9835,                0.97831,                0.84123,                0.57907,                0.54011,                 0.9733,               0.000614,               0.000614,               0.000614
                     73,                0.70365,                0.58787,                0.97687,                0.94054,                0.98571,                0.97695,                0.83489,                0.58588,                0.54084,                0.97435,              0.0005942,              0.0005942,              0.0005942
                     74,                0.73269,                0.59696,                0.99188,                0.94075,                0.99286,                0.97658,                0.83191,                 0.6014,                0.54599,                0.97263,              0.0005744,              0.0005744,              0.0005744
                     75,                0.69538,                0.56402,                0.95813,                0.94842,                      1,                0.97684,                0.84385,                0.56635,                 0.5317,                0.95865,              0.0005546,              0.0005546,              0.0005546
                     76,                0.71994,                0.60569,                0.98389,                0.95541,                0.98571,                0.97745,                0.85316,                0.55369,                0.52469,                0.94996,              0.0005348,              0.0005348,              0.0005348
                     77,                0.64966,                0.58151,                0.95222,                0.95199,                0.99148,                0.97888,                0.85486,                0.55318,                0.52479,                0.95075,               0.000515,               0.000515,               0.000515
                     78,                0.69838,                0.61469,                 1.0086,                0.94921,                0.99286,                0.97963,                 0.8536,                0.55186,                0.51607,                0.95206,              0.0004952,              0.0004952,              0.0004952
                     79,                0.77704,                0.63446,                 1.0143,                 0.9554,                0.99468,                0.98006,                 0.8528,                0.55835,                0.51999,                0.95373,              0.0004754,              0.0004754,              0.0004754
                     80,                0.68691,                0.58734,                0.97535,                0.94358,                0.99286,                0.98083,                0.85177,                0.56734,                 0.5201,                0.95961,              0.0004556,              0.0004556,              0.0004556
                     81,                0.66019,                0.59362,                0.96186,                0.95476,                0.97987,                0.98052,                0.84703,                0.58092,                 0.5253,                0.96475,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.6947,                 0.5678,                0.96942,                0.94921,                0.99286,                 0.9796,                0.83557,                0.59782,                0.54033,                0.96905,               0.000416,               0.000416,               0.000416
                     83,                0.66838,                0.57485,                0.96969,                0.95206,                0.99299,                 0.9825,                0.85195,                 0.5706,                0.52064,                0.96674,              0.0003962,              0.0003962,              0.0003962
